date,symbol,open,high,low,close,volume,vwap
2026-03-24 04:00:00+00:00,NVDA,174.63,176.0,173.79,175.1,5176852,174.96
2026-03-25 04:00:00+00:00,NVDA,176.86,181.01,176.68,178.44,4558101,179.1
2026-03-26 04:00:00+00:00,NVDA,175.93,176.29,170.94,171.03,5623768,173.38
2026-03-27 04:00:00+00:00,NVDA,169.79,170.76,166.82,167.24,5013395,168.38
2026-03-30 04:00:00+00:00,NVDA,168.43,169.23,164.09,164.99,4681083,166.31
2026-03-31 04:00:00+00:00,NVDA,166.93,174.41,166.84,174.21,6839270,171.92
2026-04-01 04:00:00+00:00,NVDA,175.71,177.16,174.59,175.61,4361295,175.93
2026-04-02 04:00:00+00:00,NVDA,171.97,177.27,171.21,177.1,3795801,175.24
2026-04-06 04:00:00+00:00,NVDA,176.94,177.56,175.6,177.38,3430655,176.68
2026-04-07 04:00:00+00:00,NVDA,175.6,178.0,173.47,177.9,3921000,175.46
2026-04-08 04:00:00+00:00,NVDA,184.28,184.99,180.11,181.91,4486002,181.93
2026-04-09 04:00:00+00:00,NVDA,181.82,183.87,180.42,183.67,3008421,182.64
2026-04-10 04:00:00+00:00,NVDA,184.29,189.78,184.26,188.39,5184110,187.94
2026-04-13 04:00:00+00:00,NVDA,185.79,189.44,185.54,189.02,3273189,187.99
2026-04-14 04:00:00+00:00,NVDA,190.78,196.27,190.59,196.27,4488427,193.82
2026-04-15 04:00:00+00:00,NVDA,196.32,200.16,195.52,198.62,4779743,198.18
2026-04-16 04:00:00+00:00,NVDA,197.38,199.61,195.64,198.03,3379147,197.8
2026-04-17 04:00:00+00:00,NVDA,199.62,201.47,199.04,201.44,4023532,200.51
2026-04-20 04:00:00+00:00,NVDA,199.76,201.92,197.63,201.88,2409932,199.59
2026-04-21 04:00:00+00:00,NVDA,201.88,202.51,198.77,199.59,3229557,200.46
2026-04-22 04:00:00+00:00,NVDA,200.76,202.25,199.12,202.18,2926364,201.02
2026-04-23 04:00:00+00:00,NVDA,202.16,203.57,197.02,199.45,3564667,200.56
2026-04-24 04:00:00+00:00,NVDA,199.79,210.69,199.58,207.94,7097391,207.38
2026-04-27 04:00:00+00:00,NVDA,209.37,216.57,207.15,216.29,5989408,212.77
2026-04-28 04:00:00+00:00,NVDA,209.27,214.47,208.01,212.9,5016478,210.94
2026-04-29 04:00:00+00:00,NVDA,212.45,212.45,207.35,209.11,4435736,209.65
2026-04-30 04:00:00+00:00,NVDA,209.69,210.05,198.47,199.31,6416731,201.44
2026-05-01 04:00:00+00:00,NVDA,200.9,202.73,196.9,198.16,3090371,199.33
2026-05-04 04:00:00+00:00,NVDA,199.15,201.47,194.53,198.33,4068999,197.48
2026-05-05 04:00:00+00:00,NVDA,198.88,199.97,195.8,196.27,4024517,197.35
2026-05-06 04:00:00+00:00,NVDA,199.62,208.01,198.44,207.43,6398711,205.03
2026-05-07 04:00:00+00:00,NVDA,208.03,213.94,206.27,211.31,4455651,211.59
