ticker,name,sector,cap_tier,avg_volume,exchange
CVS,CVS Health Corporation,Healthcare,Large-Cap,8335361,NYQ
HDB,HDFC Bank Limited,Financial Services,Large-Cap,8609541,NYQ
PGR,Progressive Corporation (The),Financial Services,Large-Cap,3155456,NYQ
UL,Unilever PLC,Consumer Defensive,Large-Cap,4120867,NYQ
BTI,British American Tobacco  Indus,Consumer Defensive,Large-Cap,4164038,NYQ
PLD,"Prologis, Inc.",Real Estate,Large-Cap,3674300,NYQ
VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,Large-Cap,1420009,NMS
COF,Capital One Financial Corporati,Financial Services,Large-Cap,4652558,NYQ
COP,ConocoPhillips,Energy,Large-Cap,8001030,NYQ
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Large-Cap,2880522,NYQ
SPGI,S&P Global Inc.,Financial Services,Large-Cap,2281090,NYQ
LMT,Lockheed Martin Corporation,Industrials,Large-Cap,1395658,NYQ
SYK,Stryker Corporation,Healthcare,Large-Cap,2634669,NYQ
VRT,"Vertiv Holdings, LLC",Industrials,Large-Cap,6194333,NYQ
MO,"Altria Group, Inc.",Consumer Defensive,Large-Cap,8732383,NYQ
MFG,"Mizuho Financial Group, Inc. Sp",Financial Services,Large-Cap,3835440,NYQ
SONY,Sony Group Corporation,Technology,Large-Cap,6453858,NYQ
SBUX,Starbucks Corporation,Consumer Cyclical,Large-Cap,7642264,NMS
PDD,PDD Holdings Inc.,Consumer Cyclical,Large-Cap,8870504,NMS
FTNT,"Fortinet, Inc.",Technology,Large-Cap,6427109,NMS
ENB,Enbridge Inc,Energy,Large-Cap,4269041,NYQ
BMY,Bristol-Myers Squibb Company,Healthcare,Large-Cap,11434990,NYQ
NOW,"ServiceNow, Inc.",Technology,Large-Cap,29639475,NYQ
BNS,Bank Nova Scotia Halifax Pfd 3,Financial Services,Large-Cap,2664038,NYQ
SO,Southern Company (The),Utilities,Large-Cap,5750150,NYQ
TT,Trane Technologies plc,Industrials,Large-Cap,1374630,NYQ
HWM,Howmet Aerospace Inc.,Industrials,Large-Cap,2798640,NYQ
CM,Canadian Imperial Bank of Comme,Financial Services,Large-Cap,1410353,NYQ
CDNS,"Cadence Design Systems, Inc.",Technology,Large-Cap,2501796,NMS
IBN,ICICI Bank Limited,Financial Services,Large-Cap,7309529,NYQ
PWR,"Quanta Services, Inc.",Industrials,Large-Cap,1234441,NYQ
PBR,Petroleo Brasileiro S.A. Petrob,Energy,Large-Cap,18064295,NYQ
GSK,GSK plc,Healthcare,Large-Cap,3894985,NYQ
MDT,Medtronic plc.,Healthcare,Large-Cap,10340520,NYQ
PNC,"PNC Financial Services Group, I",Financial Services,Large-Cap,2096982,NYQ
BNY,The Bank of New York Mellon Cor,Financial Services,Large-Cap,3888138,NYQ
SNY,Sanofi,Healthcare,Large-Cap,3165754,NMS
NEM,Newmont Corporation,Basic Materials,Large-Cap,8084412,NYQ
GD,General Dynamics Corporation,Industrials,Large-Cap,1359970,NYQ
DUK,Duke Energy Corporation (Holdin,Utilities,Large-Cap,3363245,NYQ
HOOD,"Robinhood Markets, Inc.",Financial Services,Large-Cap,31720108,NMS
SPOT,Spotify Technology S.A.,Communication Services,Large-Cap,2157998,NYQ
MAR,Marriott International,Consumer Cyclical,Large-Cap,1490179,NMS
USB,U.S. Bancorp,Financial Services,Large-Cap,9139517,NYQ
BN,Brookfield Corporation,Financial Services,Large-Cap,4884335,NYQ
ASX,"ASE Technology Holding Co., Ltd",Technology,Large-Cap,10016508,NYQ
MNST,Monster Beverage Corporation,Consumer Defensive,Large-Cap,5485738,NMS
DDOG,"Datadog, Inc.",Technology,Large-Cap,5835698,NMS
ADP,"Automatic Data Processing, Inc.",Technology,Large-Cap,2964175,NMS
UPS,"United Parcel Service, Inc.",Industrials,Large-Cap,5637387,NYQ
BP,BP p.l.c.,Energy,Large-Cap,9893729,NYQ
BCS,Barclays PLC,Financial Services,Large-Cap,5929314,NYQ
SNOW,Snowflake Inc.,Technology,Large-Cap,9027906,NYQ
ELV,"Elevance Health, Inc.",Healthcare,Large-Cap,1748674,NYQ
ING,"ING Group, N.V.",Financial Services,Large-Cap,3300040,NYQ
WM,"Waste Management, Inc.",Industrials,Large-Cap,2220519,NYQ
MCK,McKesson Corporation,Healthcare,Large-Cap,1135901,NYQ
CSX,CSX Corporation,Industrials,Large-Cap,12521048,NMS
ITUB,Itau Unibanco Banco Holding SA,Financial Services,Large-Cap,22361946,NYQ
WMB,"Williams Companies, Inc. (The)",Energy,Large-Cap,6824308,NYQ
JCI,Johnson Controls International ,Industrials,Large-Cap,4043554,NYQ
ABNB,"Airbnb, Inc.",Consumer Cyclical,Large-Cap,3805793,NMS
